id,dam_name,country,continent,river,latitude,longitude,dam_type,status,year_completed,dam_height_m,dam_length_m,reservoir_capacity_bcm,hydropower_capacity_mw,data_confidence,data_source,source_url,dam_age_years,hydrological_indicator,downstream_exposure,seismic_indicator,structural_indicator,official_validation_required
IND-004,Hirakud Dam,India,Asia,Mahanadi,21.53,83.87,Composite earth/concrete,Existing,1957,60.96,4800,5.9,347.5,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,69,Screening only,Not calculated,Not calculated,Screening only,True
IND-005,Nagarjuna Sagar Dam,India,Asia,Krishna,16.57,79.31,Masonry gravity,Existing,1967,124.7,1550,11.56,815.6,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,59,Screening only,Not calculated,Not calculated,Screening only,True
JPN-001,Kurobe Dam,Japan,Asia,Kurobe River,36.56,137.66,Concrete arch,Existing,1963,186,492,0.199,335,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,63,Screening only,Not calculated,Not calculated,Screening only,True
JPN-002,Tokuyama Dam,Japan,Asia,Ibi River,35.64,136.53,Concrete gravity,Existing,2008,161,427.1,0.66,161.8,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,18,Screening only,Not calculated,Not calculated,Screening only,True
JPN-003,Okutadami Dam,Japan,Asia,Kita-Naraha River,37.15,139.19,Concrete gravity,Existing,1961,157,480,0.601,560,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,65,Screening only,Not calculated,Not calculated,Screening only,True
KOR-001,Soyang Dam,South Korea,Asia,Soyang River,37.95,127.82,Rock-fill,Existing,1973,123,530,2.9,200,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,53,Screening only,Not calculated,Not calculated,Screening only,True
KOR-002,Chungju Dam,South Korea,Asia,Namhan River,37.0,128.0,Concrete gravity,Existing,1985,98,447,2.75,412,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,41,Screening only,Not calculated,Not calculated,Screening only,True
PAK-001,Tarbela Dam,Pakistan,Asia,Indus,34.09,72.69,Earth-fill,Existing,1976,143,2743,6.756,4888,High,WAPDA,https://wapda.gov.pk/hydro-power-and-water-projects/tarbela-dam/,50,Screening only,Not calculated,Not calculated,Screening only,True
PAK-002,Mangla Dam,Pakistan,Asia,Jhelum,33.14,73.64,Earth-fill,Existing,1967,138,3140,7.39,1310,Medium,WAPDA / public engineering references,https://wapda.gov.pk/,59,Screening only,Not calculated,Not calculated,Screening only,True
TJK-001,Nurek Dam,Tajikistan,Asia,Vakhsh,38.37,69.35,Rock-fill,Existing,1980,300,700,10.5,3015,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,46,Screening only,Not calculated,Not calculated,Screening only,True
TJK-002,Rogun Dam,Tajikistan,Asia,Vakhsh,38.77,69.77,Rock-fill,Under construction,,335,660,13.3,3780,Medium,Public project references; GDW framework,https://www.globaldamwatch.org/database,,Screening only,Not calculated,Not calculated,Screening only,True
TUR-001,Atatürk Dam,Turkey,Asia,Euphrates,37.48,38.3,Rock-fill,Existing,1992,169,1820,48.7,2400,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,34,Screening only,Not calculated,Not calculated,Screening only,True
TUR-002,Keban Dam,Turkey,Asia,Euphrates,38.79,38.74,Rock-fill,Existing,1974,207,1097,31.0,1330,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,52,Screening only,Not calculated,Not calculated,Screening only,True
THA-001,Bhumibol Dam,Thailand,Asia,Ping River,17.24,98.97,Concrete arch,Existing,1964,154,486,13.46,779.2,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,62,Screening only,Not calculated,Not calculated,Screening only,True
THA-002,Sirikit Dam,Thailand,Asia,Nan River,17.88,100.56,Earth-fill,Existing,1972,113.6,810,9.51,500,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,54,Screening only,Not calculated,Not calculated,Screening only,True
EGY-001,Aswan High Dam,Egypt,Africa,Nile,23.97,32.88,Rock-fill,Existing,1971,111,3830,169.0,2100,High,Egyptian Ministry of Water Resources and Irrigation,https://www.mwri.gov.eg/mwri2/?lang=en&page_id=33310,55,Screening only,Not calculated,Not calculated,Screening only,True
EGY-002,Aswan Low Dam,Egypt,Africa,Nile,24.08,32.89,Masonry,Existing,1933,,,,,Low,Egyptian Ministry of Water Resources and Irrigation,https://www.mwri.gov.eg/mwri2/?lang=en&page_id=33310,93,Screening only,Not calculated,Not calculated,Screening only,True
EGY-003,Esna Barrage,Egypt,Africa,Nile,25.29,32.55,Barrage,Existing,1994,,,,,Low,Egyptian Ministry of Water Resources and Irrigation / public references,https://www.mwri.gov.eg/,32,Screening only,Not calculated,Not calculated,Screening only,True
EGY-004,Nagaa Hammadi Barrage,Egypt,Africa,Nile,26.05,32.24,Barrage,Existing,2008,,,,64,Low,Egyptian Ministry of Water Resources and Irrigation / public references,https://www.mwri.gov.eg/,18,Screening only,Not calculated,Not calculated,Screening only,True
EGY-005,Assiut Barrage,Egypt,Africa,Nile,27.18,31.19,Barrage,Existing,1902,,,,32,Low,Egyptian Ministry of Water Resources and Irrigation / public references,https://www.mwri.gov.eg/,124,Screening only,Not calculated,Not calculated,Screening only,True
